Player,Scaled Score,,,,,,
"Gawn, Max",95.00,,,,,,
"Dangerfield, Patrick",89.55,,,,,,
"Neale, Lachie",89.42,,,,,,
"Bontempelli, Marcus",88.94,,,,,,
"Naitanui, Nic",87.65,,,,,,
"Petracca, Christian",86.68,,,,,,
"Goldstein, Todd",86.43,,,,,,
"Steele, Jack",85.63,,,,,,
"Hawkins, Tom",84.46,,,,,,
"Oliver, Clayton",84.37,,,,,,
"Martin, Dustin",84.20,,,,,,
"Fyfe, Nat",83.88,,,,,,
"Grundy, Brodie",83.35,,,,,,
"Macrae, Jack",82.98,,,,,,
"Boak, Travis",82.27,,,,,,
"Kelly, Josh",82.18,,,,,,
"Merrett, Zach",82.10,,,,,,
"Pendlebury, Scott",81.94,,,,,,
"Stanley, Rhys",81.73,,,,,,
"Lyons, Jarryd",81.62,,,,,,
"Adams, Taylor",81.31,,,,,,
"Parker, Luke",80.91,,,,,,
"Shiel, Dylan",80.74,,,,,,
"Lloyd, Jake",80.30,,,,,,
"Sicily, James",80.14,,,,,,
"Marshall, Rowan",79.84,,,,,,
"Viney, Jack",79.69,,,,,,
"Wines, Ollie",79.51,,,,,,
"May, Steven",79.36,,,,,,
"Ryan, Luke",79.26,,,,,,
"Menegola, Sam",78.56,,,,,,
"Cripps, Patrick",78.56,,,,,,
"Anderson, Jed",78.40,,,,,,
"Stewart, Tom",78.30,,,,,,
"OBrien, Reilly",77.80,,,,,,
"Shuey, Luke",77.80,,,,,,
"Zorko, Dayne",77.79,,,,,,
"Saad, Adam",77.70,,,,,,
"Andrews, Harris",77.61,,,,,,
"Greenwood, Hugh",77.59,,,,,,
"Kelly, Tim",77.55,,,,,,
"Gaff, Andrew",77.52,,,,,,
"McCluggage, Hugh",77.49,,,,,,
"Ridley, Jordan",77.12,,,,,,
"English, Tim",76.92,,,,,,
"Duncan, Mitch",76.91,,,,,,
"Curnow, Ed",76.85,,,,,,
"Lycett, Scott",76.82,,,,,,
"Walters, Michael",76.74,,,,,,
"Mitchell, Tom",76.43,,,,,,
"Barrass, Tom",76.27,,,,,,
"Miller, Touk",75.97,,,,,,
"Liberatore, Tom",75.81,,,,,,
"Laird, Rory",75.75,,,,,,
"Haynes, Nick",75.70,,,,,,
"Rockliff, Tom",75.70,,,,,,
"Crouch, Matt",75.44,,,,,,
"Weitering, Jacob",75.40,,,,,,
"Moore, Darcy",75.24,,,,,,
"Dumont, Trent",75.23,,,,,,
"Whitfield, Lachie",75.10,,,,,,
"Jones, Liam",74.71,,,,,,
"Sheed, Dom",74.68,,,,,,
"Guthrie, Cameron",74.65,,,,,,
"Tarrant, Robbie",74.54,,,,,,
"Dunkley, Josh",74.54,,,,,,
"Ryder, Paddy",74.39,,,,,,
"Witts, Jarrod",74.37,,,,,,
"OMeara, Jaeger",74.26,,,,,,
"Walsh, Sam",74.22,,,,,,
"Rampe, Dane",74.17,,,,,,
"Bolton, Shai",73.94,,,,,,
"Dawson, Jordan",73.80,,,,,,
"Dixon, Charlie",73.77,,,,,,
"Gunston, Jack",73.77,,,,,,
"Crisp, Jack",73.74,,,,,,
"McInerney, Oscar",73.58,,,,,,
"McGrath, Andrew",73.44,,,,,,
"Cotchin, Trent",73.43,,,,,,
"Rich, Daniel",73.23,,,,,,
"Short, Jayden",73.02,,,,,,
"Kennedy, Josh",73.00,,,,,,
"Perryman, Harry",72.91,,,,,,
"Greene, Toby",72.88,,,,,,
"Darling, Jack",72.80,,,,,,
"Daniel, Caleb",72.77,,,,,,
"Blicavs, Mark",72.56,,,,,,
"Williams, Bailey",72.55,,,,,,
"Brayshaw, Andrew",72.47,,,,,,
"Coniglio, Stephen",72.43,,,,,,
"Mills, Callum",72.34,,,,,,
"McDonald, Luke",72.34,,,,,,
"Taberner, Matthew",72.28,,,,,,
"Swallow, David",72.17,,,,,,
"Gresham, Jade",72.13,,,,,,
"Ebert, Brad",71.97,,,,,,
"Maynard, Brayden",71.96,,,,,,
"Houston, Dan",71.96,,,,,,
"Berry, Jarrod",71.88,,,,,,
"Sloane, Rory",71.85,,,,,,
"Nankervis, Toby",71.82,,,,,,
"Wingard, Chad",71.78,,,,,,
"Taranto, Tim",71.74,,,,,,
"Billings, Jack",71.70,,,,,,
"Mundy, David",71.54,,,,,,
"Docherty, Sam",71.31,,,,,,
"Jonas, Tom",71.30,,,,,,
"Smith, Bailey",71.14,,,,,,
"Jones, Zak",71.01,,,,,,
"Lobb, Rory",70.80,,,,,,
"Smith, Brodie",70.79,,,,,,
"McGovern, Jeremy",70.78,,,,,,
"Crouch, Brad",70.76,,,,,,
"Parish, Darcy",70.74,,,,,,
"Papley, Tom",70.70,,,,,,
"Sheppard, Brad",70.69,,,,,,
"Weller, Lachie",70.67,,,,,,
"Simpkin, Jy",70.42,,,,,,
"Selwood, Joel",70.28,,,,,,
"Howard, Dougal",70.27,,,,,,
"Collins, Sam",69.97,,,,,,
"Ryan, Liam",69.83,,,,,,
"Polec, Jared",69.80,,,,,,
"Higgins, Shaun",69.78,,,,,,
"Hopper, Jacob",69.65,,,,,,
"Keeffe, Lachlan",69.47,,,,,,
"Hurley, Michael",69.41,,,,,,
"Fritsch, Bayley",69.33,,,,,,
"Gray, Robbie",69.25,,,,,,
"Breust, Luke",69.16,,,,,,
"Cox, Brennan",69.12,,,,,,
"Martin, Jack",69.09,,,,,,
"Worpel, James",68.89,,,,,,
"Lever, Jake",68.86,,,,,,
"Setterfield, Will",68.83,,,,,,
"Ablett, Gary",68.82,,,,,,
"Lukosius, Jack",68.79,,,,,,
"Allen, Oscar",68.72,,,,,,
"Florent, Oliver",68.69,,,,,,
"Westhoff, Justin",68.49,,,,,,
"Langdon, Ed",68.46,,,,,,
"Corr, Aidan",68.43,,,,,,
"Ceglar, Jonathon",68.34,,,,,,
"Sinclair, Callum",68.31,,,,,,
"Duggan, Liam",68.27,,,,,,
"Serong, Caleb",68.26,,,,,,
"McEvoy, Ben",68.20,,,,,,
"Hurn, Shannon",68.11,,,,,,
"Cameron, Jeremy",67.92,,,,,,
"Langford, Kyle",67.92,,,,,,
"Ainsworth, Ben",67.55,,,,,,
"Brayshaw, Angus",67.51,,,,,,
"Salem, Christian",67.36,,,,,,
"Gibbons, Michael",67.35,,,,,,
"Tuohy, Zach",67.34,,,,,,
"Pittonet, Marc",67.32,,,,,,
"Riewoldt, Jack",67.05,,,,,,
"Lynch, Tom",66.92,,,,,,
"Pittard, Jasper",66.82,,,,,,
"Crozier, Hayden",66.81,,,,,,
"Bowes, Jack",66.62,,,,,,
"Parfitt, Brandan",66.61,,,,,,
"Shiels, Liam",66.54,,,,,,
"Keays, Ben",66.54,,,,,,
"Sinclair, Jack",66.44,,,,,,
"Johannisen, Jason",66.44,,,,,,
"Houli, Bachar",66.41,,,,,,
"Daicos, Josh",66.41,,,,,,
"Hall, Aaron",66.36,,,,,,
"Smith, Devon",66.32,,,,,,
"Murphy, Marc",66.28,,,,,,
"Byrne-Jones, Darcy",66.25,,,,,,
"Cerra, Adam",66.17,,,,,,
"Ellis, Brandon",66.11,,,,,,
"Anderson, Noah",66.06,,,,,,
"Hipwood, Eric",66.03,,,,,,
"Darcy, Sean",66.03,,,,,,
"Lambert, Kane",66.02,,,,,,
"Butler, Dan",65.99,,,,,,
"Kennedy, Josh",65.98,,,,,,
"Butters, Zak",65.96,,,,,,
"Robinson, Mitch",65.92,,,,,,
"Vlastuin, Nick",65.92,,,,,,
"Himmelberg, Elliott",65.88,,,,,,
"McIntosh, Kamdyn",65.79,,,,,,
"Rowbottom, James",65.77,,,,,,
"Wilson, Nathan",65.69,,,,,,
"Fox, Robbie",65.66,,,,,,
"Cameron, Charlie",65.40,,,,,,
"Powell-Pepper, Sam",65.34,,,,,,
"Amon, Karl",65.32,,,,,,
"Burgoyne, Shaun",65.13,,,,,,
"Membrey, Tim",65.07,,,,,,
"Balta, Noah",65.02,,,,,,
"Talia, Daniel",64.99,,,,,,
"Carlisle, Jake",64.87,,,,,,
"Rohan, Gary",64.80,,,,,,
"Elliott, Jamie",64.68,,,,,,
"Williams, Zac",64.55,,,,,,
"Ross, Sebastian",64.52,,,,,,
"Bailey, Zac",64.51,,,,,,
"Rayner, Cam",64.48,,,,,,
"Henderson, Lachie",64.48,,,,,,
"Day, Will",64.42,,,,,,
"McKay, Harry",64.38,,,,,,
"Soldo, Ivan",64.37,,,,,,
"Finlayson, Jeremy",64.37,,,,,,
"McKenzie, Trent",64.33,,,,,,
"Himmelberg, Harry",64.28,,,,,,
"Rankine, Izak",64.10,,,,,,
"Hartlett, Hamish",64.02,,,,,,
"Hardwick, Blake",64.00,,,,,,
"Mihocek, Brody",63.98,,,,,,
"Rozee, Connor",63.71,,,,,,
"Lynch, Tom",63.62,,,,,,
"Shaw, Heath",63.55,,,,,,
"Gardiner, Darcy",63.52,,,,,,
"Wilkie, Callum",63.37,,,,,,
"McKay, Ben",63.20,,,,,,
"Wallis, Mitch",63.13,,,,,,
"Clurey, Tom",63.12,,,,,,
"Simpson, Kade",63.09,,,,,,
"Hibberd, Michael",63.06,,,,,,
"Scrimshaw, Jack",63.00,,,,,,
"Sexton, Alex",62.85,,,,,,
"Baker, Liam",62.83,,,,,,
"Cripps, Jamie",62.82,,,,,,
"Weideman, Sam",62.79,,,,,,
"Battle, Josh",62.78,,,,,,
"Casboult, Levi",62.77,,,,,,
"Graham, Jack",62.69,,,,,,
"Marshall, Todd",62.68,,,,,,
"Coffield, Nick",62.67,,,,,,
"Duman, Taylin",62.60,,,,,,
"Lipinski, Patrick",62.57,,,,,,
"Miers, Gryan",62.40,,,,,,
"Clark, Hunter",62.39,,,,,,
"Cox, Mason",62.34,,,,,,
"Ballard, Charlie",62.33,,,,,,
"King, Max",62.19,,,,,,
"Cunningham, Harry",62.19,,,,,,
"Henry, Jack",62.17,,,,,,
"Duursma, Xavier",62.13,,,,,,
"Quaynor, Isaac",62.11,,,,,,
"Aish, James",62.06,,,,,,
"Phillips, Tom",62.01,,,,,,
"McCarthy, Lincoln",61.83,,,,,,
"McAdam, Shane",61.79,,,,,,
"Walker, Taylor",61.61,,,,,,
"Cordy, Zaine",61.51,,,,,,
"Newnes, Jack",61.38,,,,,,
"Atley, Shaun",61.36,,,,,,
"Brown, Luke",61.28,,,,,,
"Taylor, Harry",61.22,,,,,,
"Ratugolea, Esava",61.14,,,,,,
"Aliir, Aliir",61.14,,,,,,
"Keath, Alex",61.14,,,,,,
"Powell, Wil",61.11,,,,,,
"Pickett, Marlion",61.08,,,,,,
"McDonald-Tipungwuti, Anthony",60.95,,,,,,
"Zurhaar, Cameron",60.89,,,,,,
"Hartigan, Kyle",60.84,,,,,,
"Grimes, Dylan",60.76,,,,,,
"Castagna, Jason",60.75,,,,,,
"Redden, Jack",60.74,,,,,,
"Nelson, Jackson",60.63,,,,,,
"Bewley, Brett",60.62,,,,,,
"Blakey, Nick",60.61,,,,,,
"Naughton, Aaron",60.60,,,,,,
"Broad, Nathan",60.43,,,,,,
"King, Ben",60.32,,,,,,
"Lonie, Jack",60.31,,,,,,
"Plowman, Lachie",60.26,,,,,,
"McLean, Toby",60.25,,,,,,
"Lester, Ryan",60.23,,,,,,
"Hughes, Ethan",60.06,,,,,,
"Madgen, Jack",59.93,,,,,,
"Conca, Reece",59.92,,,,,,
"Motlop, Steven",59.82,,,,,,
"Frost, Sam",59.81,,,,,,
"Morrison, Harry",59.76,,,,,,
"Day, Sam",59.62,,,,,,
"Walker, Josh",59.58,,,,,,
"OBrien, Tim",59.53,,,,,,
"Chol, Mabior",59.52,,,,,,
"Stephenson, Jaidyn",59.44,,,,,,
"Melksham, Jake",59.43,,,,,,
"OConnor, Mark",59.40,,,,,,
"Long, Ben",59.39,,,,,,
"Daniels, Brent",59.25,,,,,,
"McCartin, Tom",59.21,,,,,,
"Wood, Easton",59.06,,,,,,
"Kolodjashnij, Jake",59.02,,,,,,
"Frawley, James",59.01,,,,,,
"Tomlinson, Adam",58.88,,,,,,
"Roughead, Jordan",58.82,,,,,,
"Birchall, Grant",58.81,,,,,,
"Guelfi, Matt",58.81,,,,,,
"Vandenberg, Aaron",58.75,,,,,,
"Hill, Stephen",58.74,,,,,,
"Hoskin-Elliott, Will",58.66,,,,,,
"Cuningham, David",58.46,,,,,,
"Ah Chee, Callum",58.45,,,,,,
"Betts, Eddie",58.39,,,,,,
"Snelling, Will",58.28,,,,,,
"Petrevski-Seton, Sam",58.25,,,,,,
"Richards, Ed",58.13,,,,,,
"Dahlhaus, Luke",58.01,,,,,,
"McGovern, Mitch",57.94,,,,,,
"Bruce, Josh",57.84,,,,,,
"Hill, Bradley",57.83,,,,,,
"Vandermeer, Laitham",57.79,,,,,,
"Geary, Jarryn",57.59,,,,,,
"Kent, Dean",57.49,,,,,,
"Scully, Tom",57.49,,,,,,
"Bews, Jed",57.46,,,,,,
"Hayward, Will",57.37,,,,,,
"Noble, John",57.36,,,,,,
"Murphy, Lachlan",57.30,,,,,,
"Rioli, Daniel",57.14,,,,,,
"Stengle, Tyson",57.14,,,,,,
"Mayne, Chris",57.12,,,,,,
"McStay, Daniel",57.01,,,,,,
"Kelly, Jake",56.78,,,,,,
"Farrell, Kane",56.55,,,,,,
"Harmes, James",56.48,,,,,,
"Cole, Tom",56.43,,,,,,
"Aarts, Jake",56.34,,,,,,
"Gleeson, Martin",56.33,,,,,,
"Paton, Ben",56.28,,,,,,
"Scott, Bailey",55.97,,,,,,
"Schultz, Lachie",55.92,,,,,,
"Brown, Callum",55.87,,,,,,
"Ash, Lachie",55.69,,,,,,
"Ah Chee, Brendon",55.45,,,,,,
"Lloyd, Daniel",55.40,,,,,,
"Macpherson, Darcy",55.11,,,,,,
"Starcevich, Brandon",54.91,,,,,,
"Redman, Mason",54.91,,,,,,
"Williamson, Tom",54.65,,,,,,
"Holman, Nick",54.21,,,,,,
"Harbrow, Jarrod",53.51,,,,,,
"de Boer, Matt",53.25,,,,,,
"Thomas, Josh",52.82,,,,,,
"Townsend, Jacob",52.44,,,,,,
"Atkins, Tom",51.99,,,,,,
"Stratton, Ben",51.85,,,,,,
"Pickett, Kysaiah",51.78,,,,,,
"Budarick, Connor",51.59,,,,,,
"Jones, Chayce",50.00,,,,,,
