Player,Scaled Score
"Bontempelli, Marcus",95
"Gawn, Max",93.04
"Petracca, Christian",91.52
"Steele, Jack",90.38
"Oliver, Clayton",89.7
"Macrae, Jack",89.48
"Parish, Darcy",89.15
"Wines, Ollie",87.79
"Lyons, Jarryd",87.46
"Naitanui, Nic",87.38
"Zorko, Dayne",86.93
"Miller, Touk",86.84
"Mills, Callum",85.22
"Darcy, Sean",85.02
"Keays, Ben",85
"Dangerfield, Patrick",84.9
"Grundy, Brodie",84.9
"Parker, Luke",84.88
"Weitering, Jacob",84.86
"Liberatore, Tom",84.8
"Laird, Rory",84.78
"Merrett, Zach",84.68
"McInerney, Oscar",84.6
"Hickey, Tom",84.59
"Cunnington, Ben",84.57
"Kelly, Josh",83.9
"Mitchell, Tom",83.76
"Crisp, Jack",83.43
"Stringer, Jake",83.38
"Boak, Travis",83.28
"Greene, Toby",82.89
"OMeara, Jaeger",82.81
"Rich, Daniel",82.74
"McCluggage, Hugh",82.47
"Dawson, Jordan",82.4
"Walsh, Sam",82.27
"Goldstein, Todd",82.06
"OBrien, Reilly",82.01
"Brayshaw, Andrew",81.82
"Mundy, David",81.81
"Walker, Taylor",81.74
"Neale, Lachie",81.7
"Martin, Dustin",81.61
"Marshall, Rowan",81.48
"Sloane, Rory",81.34
"Fyfe, Nat",81.22
"Hall, Aaron",81.05
"Guthrie, Cameron",80.94
"Adams, Taylor",80.83
"Wingard, Chad",80.71
"Andrews, Harris",80.71
"Ceglar, Jonathon",80.6
"Stewart, Tom",80.58
"Greenwood, Hugh",80.55
"Yeo, Elliot",80.51
"Taranto, Tim",80.47
"Ridley, Jordan",80.16
"Hopper, Jacob",80.07
"Lycett, Scott",80.05
"Hawkins, Tom",80.03
"Nankervis, Toby",79.75
"Stanley, Rhys",79.71
"Ziebell, Jack",79.62
"Seedsman, Paul",79.62
"Simpkin, Jy",79.58
"Dunstan, Luke",79.35
"Ryan, Luke",79.3
"Howard, Dougal",79.09
"McKay, Harry",78.98
"Membrey, Tim",78.98
"Bolton, Shai",78.87
"McEvoy, Ben",78.87
"Selwood, Joel",78.74
"Cerra, Adam",78.69
"de Goey, Jordan",78.63
"Franklin, Lance",78.58
"Duncan, Mitch",78.42
"Dunkley, Josh",78.24
"Lloyd, Jake",78.2
"Smith, Brodie",78.17
"Thomas, Tarryn",78.15
"Docherty, Sam",78.13
"Sheed, Dom",78.04
"Draper, Sam",78
"Dixon, Charlie",77.99
"May, Steven",77.96
"Moore, Darcy",77.9
"Lukosius, Jack",77.89
"Menegola, Sam",77.81
"Pittonet, Marc",77.8
"Mumford, Shane",77.79
"Kelly, Tim",77.76
"Jones, Zak",77.76
"Dale, Bailey",77.73
"McGovern, Jeremy",77.64
"Ward, Callan",77.6
"Viney, Jack",77.52
"Taylor, Sam",77.49
"Wright, Peter",77.44
"Smith, Isaac",77.41
"Crouch, Brad",77.33
"Kennedy, Josh",77.21
"Salem, Christian",77.19
"Ryder, Paddy",77.16
"Amon, Karl",77.11
"English, Tim",77.1
"Doedee, Tom",77.01
"Blicavs, Mark",76.97
"Lobb, Rory",76.96
"Heeney, Isaac",76.95
"Hardwick, Blake",76.95
"Heppell, Dyson",76.94
"Cripps, Patrick",76.87
"Jonas, Tom",76.84
"Lever, Jake",76.78
"Lynch, Tom",76.76
"Pendlebury, Scott",76.67
"Perryman, Harry",76.64
"Short, Jayden",76.62
"Treloar, Adam",76.6
"Hunter, Lachie",76.51
"Daniel, Caleb",76.48
"Maynard, Brayden",76.37
"Elliott, Jamie",76.28
"Flynn, Matt",76.28
"Bailey, Zac",76.26
"Gaff, Andrew",76.25
"Barrass, Tom",76.22
"Curnow, Ed",76.2
"Whitfield, Lachie",76.16
"Aliir, Aliir",76.1
"McDonald, Tom",75.99
"Smith, Bailey",75.93
"Daniher, Joe",75.92
"Redden, Jack",75.9
"Cumming, Isaac",75.89
"Serong, Caleb",75.81
"Riewoldt, Jack",75.78
"Collins, Sam",75.76
"Davies-Uniacke, Luke",75.72
"Cameron, Jeremy",75.72
"Naughton, Aaron",75.63
"Saad, Adam",75.62
"Jones, Liam",75.59
"Darling, Jack",75.33
"Tuohy, Zach",75.12
"Kennedy, Josh",75.06
"Houli, Bachar",75.05
"Hind, Nick",75.04
"Brown, Ben",74.98
"Sinclair, Jack",74.9
"Cox, Brennan",74.81
"Swallow, David",74.73
"Roughead, Jordan",74.7
"Stephenson, Jaidyn",74.56
"Gray, Robbie",74.51
"Billings, Jack",74.5
"McGrath, Andrew",74.44
"Impey, Jarman",74.39
"Adams, Marcus",74.35
"McKenzie, Trent",74.3
"Hurn, Shannon",74.28
"Vlastuin, Nick",74.24
"Bowes, Jack",74.21
"Williams, Zac",74.16
"Langford, Kyle",74.12
"Ellis, Brandon",74.1
"Robinson, Mitch",74.04
"Sidebottom, Steele",74.02
"Bruce, Josh",74.01
"Henry, Jack",73.98
"Henderson, Lachie",73.96
"Jiath, Changkuoth",73.9
"Cameron, Darcy",73.89
"Worpel, James",73.89
"Ladhams, Peter",73.75
"Harmes, James",73.65
"Powell, Wil",73.43
"Ross, Sebastian",73.37
"Himmelberg, Harry",73.32
"Papley, Tom",73.28
"Anderson, Noah",73.23
"Cameron, Charlie",73.17
"Houston, Dan",73.14
"King, Max",72.86
"McCartin, Tom",72.82
"Cotchin, Trent",72.79
"Wilson, Nathan",72.75
"Scrimshaw, Jack",72.67
"Baker, Liam",72.67
"McCarthy, Lincoln",72.65
"Taberner, Matthew",72.62
"Neal-Bullen, Alex",72.56
"Allen, Oscar",72.47
"Newman, Nic",72.42
"Finlayson, Jeremy",72.3
"Rampe, Dane",72.2
"Cripps, Jamie",72.18
"Langdon, Ed",72.15
"McStay, Daniel",72.15
"Broad, Nathan",72.12
"Gulden, Errol",72.11
"Haynes, Nick",71.98
"Fritsch, Bayley",71.96
"Quaynor, Isaac",71.76
"Drew, Willem",71.75
"Weller, Lachie",71.73
"Edwards, Shane",71.62
"Butters, Zak",71.58
"Shiels, Liam",71.5
"Wilkie, Callum",71.45
"Fantasia, Orazio",71.37
"Florent, Oliver",71.35
"Green, Tom",71.35
"Higgins, Jack",71.28
"Lambert, Kane",71.26
"Breust, Luke",71.2
"Mayne, Chris",71.19
"Lewis, Mitch",71.11
"Graham, Jack",71.09
"Kennedy, Matthew",71.08
"Williams, Bailey",71.08
"Mihocek, Brody",71.02
"Snelling, Will",70.97
"Rozee, Connor",70.95
"Byrne-Jones, Darcy",70.94
"Moore, Dylan",70.71
"Hooker, Cale",70.7
"Schoenberg, Harry",70.51
"Parfitt, Brandan",70.46
"Hipwood, Eric",70.34
"Rotham, Josh",70.34
"Burton, Ryan",70.29
"Aish, James",70.28
"Hoskin-Elliott, Will",70.21
"Grimes, Dylan",70.11
"Warner, Chad",69.94
"Ryan, Liam",69.91
"Duryea, Taylor",69.88
"Pickett, Kysaiah",69.81
"Burgess, Chris",69.79
"King, Ben",69.69
"Markov, Oleg",69.66
"Duggan, Liam",69.61
"Lynch, Tom",69.55
"Larkey, Nick",69.48
"Weightman, Cody",69.45
"Gibbons, Michael",69.45
"Ballard, Charlie",69.44
"Jackson, Luke",69.34
"Redman, Mason",69.31
"McLean, Hayden",69.28
"McInerney, Justin",69.26
"Rohan, Gary",69.15
"Howe, Daniel",69.09
"Zurhaar, Cameron",69.08
"Frost, Sam",69.06
"Marshall, Todd",69.04
"Martin, Jack",68.97
"OBrien, Tim",68.94
"Birchall, Grant",68.92
"Bonner, Riley",68.92
"Brayshaw, Angus",68.87
"Keath, Alex",68.77
"Acres, Blake",68.62
"Clurey, Tom",68.62
"Cordy, Zaine",68.5
"Hill, Bradley",68.44
"Dumont, Trent",68.41
"Lloyd, Daniel",68.32
"McDonald-Tipungwuti, Anthony",68.31
"Ainsworth, Ben",68.3
"Kelly, Jake",68.25
"Switkowski, Sam",68.13
"Smith, Devon",68.11
"Rowbottom, James",68.09
"Koschitzke, Jacob",68.07
"Higgins, Shaun",68.06
"Silvagni, Jack",68.03
"Sheppard, Brad",67.84
"Balta, Noah",67.84
"Thilthorpe, Riley",67.84
"Webster, Jimmy",67.82
"Powell, Tom",67.81
"De Koning, Tom",67.72
"Phillips, Tom",67.66
"Waterman, Jake",67.66
"Butts, Jordon",67.63
"Pickett, Marlion",67.6
"Logue, Griffin",67.54
"Daicos, Josh",67.46
"McDonald, Luke",67.41
"Cunningham, Harry",67.35
"Holman, Nick",67.28
"McKay, Ben",67.26
"Laverde, Jayden",67.12
"Ash, Lachie",67.12
"Buckley, Jack",67.08
"Walters, Michael",67.03
"Hayward, Will",66.85
"Brown, Luke",66.84
"Georgiades, Mitch",66.8
"Astbury, David",66.76
"de Boer, Matt",66.74
"Duursma, Xavier",66.73
"McIntosh, Kamdyn",66.71
"Newnes, Jack",66.69
"Motlop, Steven",66.61
"Brander, Jarrod",66.59
"Madgen, Jack",66.58
"Rankine, Izak",66.55
"Clark, Hunter",66.47
"Rivers, Trent",66.47
"Hewett, George",66.45
"Idun, Connor",66.43
"Powell-Pepper, Sam",66.29
"Walker, Josh",66.23
"Francis, Aaron",66.21
"Close, Brad",66.21
"Fogarty, Lachie",66.16
"Hartigan, Kyle",66.08
"Corbett, Josh",66.05
"Kolodjashnij, Jake",66.03
"Stocker, Liam",65.93
"Sholl, Lachlan",65.91
"Miers, Gryan",65.88
"Fogarty, Darcy",65.83
"Ratugolea, Esava",65.82
"Noble, John",65.75
"Schultz, Lachie",65.74
"Murray, Nick",65.63
"OConnor, Mark",65.54
"Daniels, Brent",65.52
"Colyer, Travis",65.41
"McAdam, Shane",65.39
"Atkins, Tom",65.32
"Waterman, Alec",65.26
"Betts, Eddie",65.19
"Lester, Ryan",65.18
"Thomas, Josh",64.92
"Rowell, Matt",64.85
"Stewart, James",64.71
"McKenzie, Daniel",64.69
"Owies, Matthew",64.67
"Atley, Shaun",64.65
"Hill, Bobby",64.65
"Fox, Robbie",64.61
"Blakey, Nick",64.56
"Petty, Harry",64.46
"Plowman, Lachie",64.45
"Morrison, Harry",64.42
"Butler, Dan",64.4
"Coffield, Nick",64.39
"Robertson, Deven",64.29
"Jones, Harry",64.28
"Byrnes, Ryan",64.17
"Hunt, Jayden",64.13
"Macpherson, Darcy",64.11
"Wood, Easton",64.05
"Spargo, Charlie",64.03
"Hannan, Mitch",64.01
"Starcevich, Brandon",63.87
"Wicks, Sam",63.79
"Smith, Roarke",63.78
"Sexton, Alex",63.64
"Graham, Caleb",63.64
"Murphy, Lachlan",63.61
"Petruccelle, Jack",63.58
"Casboult, Levi",63.52
"Hibberd, Michael",63.48
"Cutler, Tom",63.46
"Burgoyne, Shaun",63.36
"Dow, Paddy",63.32
"Bergman, Miles",63.29
"Mackay, David",63.28
"Cole, Tom",63.22
"Guelfi, Matt",63.18
"Poulter, Caleb",63.03
"Johannisen, Jason",63
"Jordon, James",62.95
"Nelson, Jackson",62.83
"Lipinski, Patrick",62.74
"Castagna, Jason",62.73
"Young, Lachie",62.73
"Highmore, Tom",62.66
"Tucker, Darcy",62.65
"Aarts, Jake",62.53
"Mahony, Jack",62.53
"Murphy, Marc",62.5
"Davis, Phil",62.44
"Cottrell, Matthew",62.38
"Flanders, Sam",62.33
"Battle, Josh",62.31
"Turner, Kayne",62.28
"Rioli, Daniel",62.25
"McPherson, Andrew",62.24
"Petrevski-Seton, Sam",62.15
"Williamson, Tom",62.14
"Bews, Jed",62.12
"Dahlhaus, Luke",62.11
"Rowe, James",62.04
"Narkle, Quinton",61.91
"Fullarton, Tom",61.85
"Taylor, Curtis",61.81
"Cox, Nik",61.78
"Lemmens, Sean",61.76
"Guthrie, Zach",61.71
"Mansell, Rhyan",61.62
"Watson, Tobe",61.47
"Berry, Jarrod",61.42
"OHalloran, Xavier",61.36
"Scott, Bailey",61.34
"Bianco, Trent",61.28
"Jones, Chayce",61.28
"Brockman, Tyler",61.15
"Crowden, Mitch",61.1
"Bytel, Jack",60.97
"Perkins, Archie",60.92
"McHenry, Ned",60.74
"Vandermeer, Laitham",60.74
"Long, Ben",60.74
"Treacy, Josh",60.7
"Melksham, Jake",60.49
"Henry, Liam",60.28
"Berry, Sam",60.23
"Ah Chee, Callum",60.04
"Prior, Jaxon",59.94
"Scott, Anthony",59.82
"Ham, Brayden",59.81
"Holmes, Max",59.78
"Coleman, Keidean",59.77
"Jones, Jamaine",59.51
"Mathieson, Rhys",59.24
"Hanrahan, Oliver",59.05
"McNeil, Lachlan",58.98
"Sparrow, Tom",58.98
"Bruhn, Tanner",58.87
"Langdon, Zac",58.8
"Clark, Jordan",58.48
"Brown, Callum",58.42
"Murphy, Nathan",58.32
"Lonie, Jack",58.29
"Ross, Jack",58.17
"Reid, Sam",57.87
"McCreery, Beau",57.84
"Hamill, Will",57.76
"Phillips, Will",57.01
"Lazzaro, Charlie",56.48
"Blakely, Connor",56.46
"Mayes, Sam",54.83
"Bell, James",54.13
"Berry, Tom",50
