Player,Scaled Score,
"Bontempelli, Marcus",95.00,
"Oliver, Clayton",94.19,
"Miller, Touk",91.40,
"Gawn, Max",91.31,
"Sicily, James",90.71,
"Petracca, Christian",89.52,
"Laird, Rory",89.49,
"Neale, Lachie",89.38,
"English, Tim",88.82,
"Cripps, Patrick",88.69,
"Macrae, Jack",88.49,
"Dawson, Jordan",87.46,
"Merrett, Zach",86.23,
"OBrien, Reilly",85.92,
"Anderson, Noah",85.68,
"Boak, Travis",85.57,
"Mills, Callum",85.45,
"Dunkley, Josh",85.08,
"Dangerfield, Patrick",85.02,
"Liberatore, Tom",84.95,
"Hawkins, Tom",84.65,
"Brayshaw, Andrew",84.57,
"Parish, Darcy",84.41,
"Steele, Jack",84.30,
"Curnow, Charlie",84.22,
"Witts, Jarrod",84.20,
"Sinclair, Jack",84.13,
"Hewett, George",83.89,
"Wines, Ollie",83.71,
"Lynch, Tom",83.61,
"Crisp, Jack",83.54,
"Darcy, Sean",83.46,
"Cameron, Jeremy",83.13,
"Parker, Luke",82.90,
"Warner, Chad",82.84,
"Smith, Bailey",82.78,
"May, Steven",82.45,
"Blicavs, Mark",82.44,
"Wright, Peter",82.17,
"McCluggage, Hugh",82.10,
"Davies-Uniacke, Luke",82.09,
"Docherty, Sam",82.07,
"Walsh, Sam",82.06,
"de Goey, Jordan",82.03,
"Goldstein, Todd",81.97,
"Kelly, Josh",81.93,
"Young, Lewis",81.61,
"Viney, Jack",81.59,
"Keays, Ben",81.34,
"Bolton, Shai",81.25,
"Nankervis, Toby",81.10,
"Stewart, Tom",80.95,
"Lyons, Jarryd",80.83,
"Mitchell, Tom",80.77,
"Taylor, Sam",80.67,
"Barrass, Tom",80.53,
"Prestia, Dion",80.44,
"Dale, Bailey",80.42,
"Marshall, Rowan",80.39,
"Moore, Darcy",80.28,
"Simpkin, Jy",80.08,
"Heeney, Isaac",80.03,
"Walker, Taylor",79.99,
"Crouch, Brad",79.72,
"OMeara, Jaeger",79.61,
"Swallow, David",79.55,
"Short, Jayden",79.46,
"Lobb, Rory",79.39,
"Houston, Dan",79.31,
"McInerney, Oscar",79.30,
"Kennedy, Matthew",79.17,
"Coniglio, Stephen",79.07,
"Brodie, Will",79.03,
"Kelly, Tim",79.02,
"Ryan, Luke",79.01,
"Finlayson, Jeremy",78.92,
"Dixon, Charlie",78.81,
"Moore, Dylan",78.75,
"Himmelberg, Harry",78.74,
"Shiel, Dylan",78.63,
"Rich, Daniel",78.51,
"Andrews, Harris",78.38,
"Vlastuin, Nick",78.32,
"Treloar, Adam",78.28,
"Green, Tom",78.27,
"Stanley, Rhys",78.25,
"Pendlebury, Scott",78.17,
"Cumming, Isaac",78.07,
"Taranto, Tim",78.04,
"Hall, Aaron",77.91,
"Selwood, Joel",77.87,
"Serong, Caleb",77.86,
"Rozee, Connor",77.70,
"Papley, Tom",77.67,
"McKay, Harry",77.57,
"Greene, Toby",77.49,
"Hickey, Tom",77.45,
"Ross, Sebastian",77.44,
"Saad, Adam",77.44,
"Cameron, Darcy",77.43,
"Newcombe, Jai",77.29,
"Weller, Lachie",77.10,
"Gresham, Jade",77.08,
"Guthrie, Cameron",77.02,
"Cotchin, Trent",77.02,
"Amon, Karl",76.96,
"Hogan, Jesse",76.75,
"Naughton, Aaron",76.72,
"Cox, Brennan",76.69,
"Butters, Zak",76.67,
"Howe, Jeremy",76.66,
"Cerra, Adam",76.63,
"Duncan, Mitch",76.49,
"Brayshaw, Angus",76.46,
"McDonald, Luke",76.31,
"Marshall, Todd",76.19,
"Rowbottom, James",76.15,
"Shuey, Luke",75.88,
"Young, Hayden",75.81,
"Smith, Isaac",75.78,
"Riewoldt, Jack",75.70,
"Ridley, Jordan",75.64,
"Draper, Sam",75.63,
"Howard, Dougal",75.60,
"Rowell, Matt",75.53,
"Lewis, Mitch",75.48,
"Berry, Sam",75.45,
"Stengle, Tyson",75.05,
"Blakey, Nick",74.89,
"Maynard, Brayden",74.82,
"Hurn, Shannon",74.62,
"Flynn, Matt",74.61,
"Lloyd, Jake",74.58,
"Gulden, Errol",74.53,
"King, Max",74.49,
"Burton, Ryan",74.48,
"Witherden, Alex",74.47,
"Bailey, Zac",74.46,
"Whitfield, Lachie",74.44,
"Membrey, Tim",74.30,
"Adams, Taylor",74.30,
"Reid, Sam",74.29,
"Lipinski, Patrick",74.29,
"Hind, Nick",74.17,
"Ellis, Brandon",74.12,
"Wilkie, Callum",74.05,
"Redden, Jack",74.05,
"Graham, Caleb",73.99,
"Cripps, Jamie",73.99,
"Anderson, Jed",73.98,
"Acres, Blake",73.96,
"Smith, Brodie",73.90,
"Weitering, Jacob",73.90,
"Ladhams, Peter",73.83,
"Franklin, Lance",73.79,
"Clark, Jordan",73.77,
"Redman, Mason",73.69,
"Crouch, Matt",73.64,
"Perryman, Harry",73.64,
"Zorko, Dayne",73.63,
"Collins, Sam",73.61,
"Tuohy, Zach",73.53,
"Gunston, Jack",73.49,
"Doedee, Tom",73.37,
"Cameron, Charlie",73.36,
"Mundy, David",73.31,
"McGrath, Andrew",73.23,
"Daicos, Nick",73.19,
"Logue, Griffin",73.05,
"Coleman, Keidean",72.89,
"Rioli, Daniel",72.80,
"Jackson, Luke",72.80,
"Payne, Jack",72.75,
"Lukosius, Jack",72.73,
"De Koning, Tom",72.71,
"Richards, Ed",72.64,
"Martin, Nic",72.49,
"Fogarty, Darcy",72.44,
"Ainsworth, Ben",72.43,
"Powell-Pepper, Sam",72.43,
"Broad, Nathan",72.38,
"Darling, Jack",72.36,
"Baker, Liam",72.35,
"Stringer, Jake",72.25,
"Ward, Callan",72.17,
"Reeves, Ned",72.16,
"Daniel, Caleb",72.12,
"Morrison, Harry",72.01,
"Heppell, Dyson",71.98,
"Adams, Marcus",71.93,
"Farrell, Kane",71.87,
"Duggan, Liam",71.83,
"Fort, Darcy",71.77,
"Berry, Jarrod",71.63,
"Chol, Mabior",71.59,
"Gardner, Ryan",71.56,
"Langdon, Ed",71.51,
"Scrimshaw, Jack",71.43,
"Fritsch, Bayley",71.39,
"McStay, Daniel",71.39,
"Newman, Nic",71.25,
"Parfitt, Brandan",71.20,
"Miller, Ben",71.09,
"Elliott, Jamie",71.00,
"Caldwell, Jye",70.98,
"Atkins, Tom",70.97,
"Young, Lachie",70.87,
"Close, Brad",70.85,
"McCartin, Tom",70.85,
"Daicos, Josh",70.82,
"Breust, Luke",70.80,
"Corr, Aidan",70.70,
"Rankine, Izak",70.57,
"Aliir, Aliir",70.43,
"Rayner, Cam",70.39,
"Drew, Willem",70.33,
"McIntosh, Kamdyn",70.17,
"Sidebottom, Steele",70.14,
"Cox, Mason",70.08,
"Zurhaar, Cameron",69.97,
"Switkowski, Sam",69.95,
"Higgins, Jack",69.88,
"Powell, Wil",69.87,
"Daniher, Joe",69.86,
"Aish, James",69.70,
"OBrien, Tim",69.56,
"Gaff, Andrew",69.49,
"McCarthy, Lincoln",69.42,
"Wood, Mason",69.38,
"Ryder, Paddy",69.28,
"McKenzie, Daniel",69.25,
"Harmes, James",69.15,
"Hipwood, Eric",69.09,
"McCartin, Paddy",69.05,
"Ballard, Charlie",68.93,
"Guthrie, Zach",68.83,
"Xerri, Tristan",68.83,
"Schultz, Lachie",68.81,
"Stephenson, Jaidyn",68.80,
